feature,coefficient
water_status_max,0.021768289287522405
rain_actual_虞北平原_sum,-0.004595196692595003
rain_forecast_虞南山区_sum,-0.0016022717756232305
flow_range,-0.0014757404637778338
rain_forecast_嵊州_sum,0.0012760692419702133
rain_actual_嵊州_sum,-0.0011232430425973609
rain_forecast_新昌_sum,-0.0009192054397152178
rain_actual_虞南山区_sum,0.0008697787995111294
rain_forecast_绍兴平原_sum,0.0008271163511534105
flow_mean,-0.0006491358198458055
rain_actual_total,0.00019598952780061862
rain_actual_绍兴平原_sum,5.429118028165747e-05
rain_actual_新昌_sum,2.743982144669917e-05
flow_var,9.57011114313471e-06
water_rain_ratio,5.509472501239526e-09
flow_rain_ratio,-2.1883893860307144e-09
is_rush_hour,0.0
rain_forecast_嵊州_max,0.0
rain_forecast_嵊州_mean,0.0
rain_actual_嵊州_mean,0.0
